scientificName,latitude,longitude,id,elevation,state,name,gsn_flag,wmo_id,element,first_year,last_year
"Procyon lotor (Linnaeus, 1758)",36,-89,US1TNCK0001,102.1,TN,ALAMO 3.5 WNW,,,PRCP,2007,2011
"Procyon lotor (Linnaeus, 1758)",41,-88,US1ILCK0069,220.1,IL,PARK FOREST 0.8 NNE,,,PRCP,2007,2021
"Procyon lotor (Linnaeus, 1758)",45,-76,CA006100226,125,ON,ALMONTE,,,TMAX,1912,1980
"Procyon lotor (Linnaeus, 1758)",49,-123,CA001010066,4,BC,ACTIVE PASS,,,PRCP,1984,1996
"Procyon lotor (Linnaeus, 1758)",33,-101,US1TXGR0002,709.6,TX,JUSTICEBURG 2.4 ENE,,,PRCP,2014,2021
"Procyon lotor (Linnaeus, 1758)",34,-119,US1CALA0007,272.5,CA,WOODLAND HILLS 2.6 WNW,,,PRCP,2008,2012
"Procyon lotor (Linnaeus, 1758)",29,-81,US1FLBV0003,7,FL,MIMS 7.5 NNW,,,PRCP,2007,2015
"Procyon lotor (Linnaeus, 1758)",33,-116,MXN00002031,1231.7,,LA RUMOROSA,,,TMAX,1932,2012
"Procyon lotor (Linnaeus, 1758)",34,-118,US1CALA0001,155.8,CA,GLENDALE 2.4 WSW,,,PRCP,2008,2021
"Procyon lotor (Linnaeus, 1758)",44,-122,US1ORDS0023,1292.4,OR,LA PINE 0.6 SSW,,,PRCP,2008,2009
"Procyon lotor (Linnaeus, 1758)",35,-85,US1GACG0002,213.1,GA,SUMMERVILLE 2.6 NW,,,PRCP,2008,2014
"Procyon lotor (Linnaeus, 1758)",44,-77,CA006100720,146,ON,BELLROCK,,,TMAX,1957,1978
"Procyon lotor (Linnaeus, 1758)",26,-80,US1FLBW0001,0.9,FL,HOLLYWOOD 1.1 WNW,,,PRCP,2012,2017
"Procyon lotor (Linnaeus, 1758)",28,-82,US1FLHB0001,39.3,FL,PLANT CITY 6.5 NW,,,PRCP,2007,2021
"Procyon lotor (Linnaeus, 1758)",30,-98,US1TXBLC001,370.9,TX,JOHNSON CITY 0.9 NW,,,PRCP,2007,2012
"Procyon lotor (Linnaeus, 1758)",31,-96,US1TXBZS004,90.8,TX,COLLEGE STATION 2.7 NNW,,,PRCP,2009,2013
"Procyon lotor (Linnaeus, 1758)",39,-77,US1DCDC0001,17.1,DC,WASHINGTON 3.0 ENE,,,PRCP,2006,2006
"Procyon lotor (Linnaeus, 1758)",40,-74,US1NJAT0021,5.5,NJ,PORT REPUBLIC 0.8 SSW,,,PRCP,2016,2021
"Procyon lotor (Linnaeus, 1758)",30,-97,US1TXBRL008,93.6,TX,SOMERVILLE 6.7 WSW,,,PRCP,2020,2021
"Procyon lotor (Linnaeus, 1758)",23,-106,MXM00076458,4,,COLONIA JUAN CARRAS,GSN,76458,TMAX,1973,2021
"Procyon lotor (Linnaeus, 1758)",41,-73,US1CTFR0003,71.6,CT,NEW CANAAN 1.9 ENE,,,PRCP,2009,2021
"Procyon lotor (Linnaeus, 1758)",48,-123,CA001010235,17,BC,ALBERT HEAD,,,TMAX,1976,1978
"Procyon lotor (Linnaeus, 1758)",42,-88,US1ILCK0004,246.9,IL,BARTLETT 1.9 NNW,,,PRCP,2006,2008
"Procyon lotor (Linnaeus, 1758)",10,-83,CS000081003,3,,PUERTO LIMON,GSN,78767,TMAX,1970,2021
"Procyon lotor (Linnaeus, 1758)",33,-97,US1TXCLL005,214,TX,MCKINNEY 2.8 SW,,,PRCP,2007,2007
"Procyon lotor (Linnaeus, 1758)",21,-100,MXM00076625,1919,,QUERETARO INTERCONTINENTAL,,76625,TMAX,1977,2021
"Procyon lotor (Linnaeus, 1758)",38,-122,US1CAAL0001,113.4,CA,PIEDMONT 1.0 SE,,,PRCP,2008,2021
"Procyon lotor (Linnaeus, 1758)",29,-96,US1TXBRZ012,5.8,TX,WEST COLUMBIA 4.6 WNW,,,PRCP,2009,2015
Procyon lotor lotor,39,-77,US1DCDC0001,17.1,DC,WASHINGTON 3.0 ENE,,,PRCP,2006,2006
"Procyon lotor (Linnaeus, 1758)",41,-82,US1OHAS0001,332.5,OH,ASHLAND 4.7 NNW,,,PRCP,2010,2018
"Procyon lotor (Linnaeus, 1758)",42,-71,US1MABA0002,18.3,MA,FALMOUTH 3.1 NNW,,,PRCP,2009,2021
"Procyon lotor (Linnaeus, 1758)",38,-85,US1KYAN0001,239,KY,LAWRENCEBURG 5.2 SSE,,,PRCP,2007,2021
"Procyon lotor (Linnaeus, 1758)",30,-82,US1FLAL0002,35.1,FL,ARCHER 5.5 E,,,PRCP,2009,2021
Procyon lotor lotor,37,-78,US1NCHL0002,67.4,NC,LITTLETON 4.7 NNE,,,PRCP,2011,2014
"Procyon lotor (Linnaeus, 1758)",48,-122,US1WAIS0019,75.3,WA,LANGLEY 4.1 NW,,,PRCP,2010,2021
"Procyon lotor (Linnaeus, 1758)",44,-69,US1MEHN0008,29.9,ME,BROOKLIN 2.5 NW,,,PRCP,2002,2021
"Procyon lotor (Linnaeus, 1758)",31,-98,US1TXBEL003,233.8,TX,HARKER HEIGHTS 1.5 NE,,,PRCP,2008,2009
"Procyon lotor (Linnaeus, 1758)",41,-76,US1PABR0012,154.5,PA,KUTZTOWN 2.2 NNE,,,PRCP,2008,2021
