STID,Station Name,State,TimeZone,DayTimeSaving,Latitude,Longitude,Elevation
K04V,Saguache,CO,M,y,38.1,-106.167,7824.8
K04W,Field of Dreams Airport,MN,C,y,46.0229,-92.8952,1021
K0E0,Moriarty Airport,NM,M,y,34.9823,-106.005,6199
K0F2,Bowie Municipal Airport,TX,C,y,33.6017,-97.7756,1101
K0J4,Florala Municipal Airport,FL,E,y,31.033,-86.317,1030.18
K11J,Early County Airport,GA,E,y,31.397,-84.895,213.255
K11R,Brenham Municipal Airport,TX,C,y,30.219,-96.374,308.399
K12N,Aeroflex-Andover Airport,NJ,E,y,41.01,-74.74,583.99
K14Y,Todd Field Airport - Long Prairie, MN,MN,C,Y,45.8983,-94.8739,1333
K1A5,Franklin/Macon County Airport,NC,E,y,35.217,-83.417,2021
K1A6,Middlesboro-Bell County Airport,KY,E,y,36.611,-83.737,1154.86
K1B7,Boothville Heliport,LA,C,y,29.35,-89.433,3.281
K1F0,Ardmore Downtown Executive Airport,OK,C,y,34.15,-97.12,843.176
K1H2,Effingham,IL,C,y,39.07,-88.53,587.27
K1M4,Posey Field Airport,AL,c,y,34.28,-87.6,930
K1P1,Plymouth Municipal Airport,NH,E,y,43.78,-71.53,505
K1V4,Saint Johnsbury,VT,E,y,44.42,-72.02,700.131
K20V,Kremmling/McElroy Field,CO,M,y,40.05,-106.36,7411.42
K21D,Lake Elmo Airport - Lake Elmo, MN,MN,C,y,44.9975,-92.8557,933
K27A,Elbert Co. Airport-Patz Field,GA,E,y,34.095,-82.816,603.675
K2C8,Cavalier Municipal Airport,ND,C,y,48.7837,-97.632,892
K2F8,Morehouse Memorial Airport,LA,C,y,32.7558,-91.8806,
K2G4,Garrett County Airport,MD,E,y,39.5803,-79.3394,2933
K2GL,Galliano Heliport,LA,C,y,29.417,-90.3,6.562
K2R8,Mustang Beach Airport,TX,C,y,27.817,-97.083,6.562
K2SL,Sea Lion Caves,OR,P,y,0,0,
K2WX,Buffalo,SD,M,y,45.57,-103.53,2890.42
K33V,Walden/Jackson County Airport,CO,M,y,40.75,-106.271,8153
K3A6,Newhall,CA,P,y,34.4,-118.6,1400.92
K3B6,Eugene Island 300,LA,C,y,28.083,-92.7,3.281
K3CL,Clatsop Spit,OR,P,y,0,0,
K3DU,Drummond,MT,M,y,46.68,-113.15,4000
K3HT,Harlowton,MT,M,y,46.44,-109.84,4160.1
K3I2,Point Pleasant, Mason County Airport,WV,E,y,38.9144,-82.0983,
K3J7,Greene County Regional Airport,GA,E,y,33.6,-83.133,675.853
K3LF,Litchfield Municipal Airport,IL,C,Y,39.163,-89.675,688.976
K3MW,Mount Werner,CO,M,y,40.267,-106.45,10633.2
K3R0,Beeville Municipal Airport,TX,C,y,28.36,-97.79,
K3T5,La Grange,TX,C,y,29.91,-96.95,324.803
K3TH,Thompson Falls,MT,M,y,47.6,-115.367,2378.61
K40B,Clayton Lake,ME,E,y,46.617,-69.533,1030.18
K40G,Grand Canyon, Valle Airport,AZ,M,n,35.65,-112.15,600.066
K40J,Perry-Foley Airport,FL,E,y,30.07,-83.57,42.651
K42J,Keystone Airpark,FL,E,y,29.8448,-82.0475,196
K45J,Rockingham,NC,E,y,34.883,-79.75,357.612
K48I,Braxton County Airport,WV,E,y,38.733,-80.65,1269.69
K4A9,Isbell Field Airport,AL,C,y,34.467,-85.717,875.984
K4BK,Brookings,OR,P,y,42.05,-124.283,45.932
K4BL,Blanding,UT,M,y,37.62,-109.47,6040.03
K4BM,Wilkerson Pass,CO,M,y,39.05,-105.514,11279.5
K4CR,Corona/Lincoln,NM,M,y,34.11,-105.68,6499.34
K4HV,Hanksville,UT,M,y,38.38,-110.72,4308.07
K4MY,Moriarty,NM,M,y,34.98,-106.05,6200.79
K4O4,Mc Curtain County Regional Airport,OK,C,y,33.9,-94.867,472.441
K4SL,Torreon,NM,M,y,36.03,-106.95,6909.45
K5J0,John Day State Arpt,OR,P,y,44.42,-118.95,3697.51
K5SM,Sunlight,CO,M,y,39.417,-107.367,10603.7
K6B8,Burlington International Airport (BVT),VT,E,y,44.54,-72.03,362
K6R3,Liberty County,TX,C,Y,30.214,-95.005,150
K6R6,Dryden Terrell County Airport,TX,C,y,30.422,-102.278,2319.55
K76S,Oak Harbor Airport,WA,P,y,48.25,-122.667,190.289
K77M,Malta,ID,M,y,42.3,-113.37,4540.03
K78D,Caro,MI,C,y,43.45,-83.45,702.1
K79J,Andalusia-Opp Municipal Airport,AL,C,y,31.317,-86.4,308.399
K7BM,Cottonwood Pass,CO,M,y,38.8,-106.217,9826.12
K7D2,Troy,MI,C,y,42.55,-83.183,728.346
K7R3,Amelia / Lake Palourd,LA,C,y,29.7,-91.1,6.562
K7R4,Intracoastal City,LA,C,y,29.783,-92.133,16.404
K7R5,Cameron Heliport,LA,C,y,29.783,-93.3,3.281
K7R8,South Marsh Island,LA,C,y,28.3,-91.983,3.281
K87Q,Pt Piedras(cg/Amos),CA,P,y,35.68,-121.28,68.898
K8A0,Albertville Regional Airport-Thomas J Brumlik Fiel,AL,C,y,34.2291,-86.2558,1032
K8D3,Sisseton Municipal Airport,SD,C,y,45.67,-97,1161.42
K92S,Cape Blanco (cgs),OR,P,y,42.833,-124.567,187.008
K9BB,Wells,NV,P,y,41.16,-114.97,5679.13
K9L2,Edwards Air Force Aux No Base,CA,P,y,34.983,-117.867,2299.87
